"variant","semana","ano","n","freq","Actualizacion","Fuente"
"Omicron BA.2",31,2022,30,0.010114632501685773,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",31,2022,150,0.05057316250842886,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",31,2022,206,0.06945380984490897,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",31,2022,2560,0.8631153068105192,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BF.7",32,2022,10,0.003389830508474576,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",32,2022,20,0.006779661016949152,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",32,2022,50,0.01694915254237288,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",32,2022,180,0.061016949152542375,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",32,2022,260,0.08813559322033898,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",32,2022,2430,0.823728813559322,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",33,2022,10,0.005186721991701245,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",33,2022,20,0.01037344398340249,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",33,2022,40,0.02074688796680498,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",33,2022,130,0.06742738589211618,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",33,2022,1728,0.8962655601659751,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BF.7",34,2022,10,0.005417118093174431,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",34,2022,20,0.010834236186348862,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",34,2022,80,0.04333694474539545,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",34,2022,219,0.11863488624052004,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",34,2022,1517,0.8217768147345612,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2.75",35,2022,10,0.00865051903114187,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",35,2022,20,0.01730103806228374,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",35,2022,50,0.04325259515570934,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",35,2022,90,0.07785467128027682,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",35,2022,986,0.8529411764705882,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",36,2022,50,0.05434782608695652,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",36,2022,100,0.10869565217391304,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",36,2022,770,0.8369565217391305,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.1",37,2022,10,0.013513513513513514,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BF.7",37,2022,10,0.013513513513513514,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",37,2022,20,0.02702702702702703,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",37,2022,30,0.04054054054054054,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",37,2022,90,0.12162162162162163,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",37,2022,580,0.7837837837837838,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.2",38,2022,10,0.01589825119236884,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BF.7",38,2022,10,0.01589825119236884,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BQ.1 ('Typhon')",38,2022,10,0.01589825119236884,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",38,2022,30,0.04769475357710652,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",38,2022,80,0.1271860095389507,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",38,2022,489,0.7774244833068362,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron (otros)",39,2022,8,0.06557377049180328,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.4",39,2022,16,0.13114754098360656,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
"Omicron BA.5",39,2022,98,0.8032786885245902,"2022/10/29 02:16:15","GISAID: https://www.gisaid.org/"
